City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
104,Bambous Virieux,MU,70.05,-20.3428,57.7575,broken clouds,Casa Tia Villa
109,Muncar,ID,82.09,-8.4333,114.3333,overcast clouds,Zaky Homestay
111,Port Hedland,AU,80.65,-20.3167,118.5667,clear sky,The Esplanade Hotel
113,Manta,EC,71.38,-0.95,-80.7333,scattered clouds,Balandra Hotel
115,Pouembout,NC,77.16,-21.1333,164.9,scattered clouds,Camping de Tipenga
116,Corpus Christi,US,78.98,27.8006,-97.3964,clear sky,"Holiday Inn Corpus Christi Downtown Marina, an IHG Hotel"
117,Tateyama,JP,76.86,34.9833,139.8667,few clouds,Tateyama Seaside Hotel
118,Kavieng,PG,82.08,-2.5744,150.7967,light rain,Nusa Island Retreat
119,Katsuura,JP,77.36,35.1333,140.3,clear sky,Katsuura Hotel Mikazuki
124,Kudahuvadhoo,MV,81.25,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
126,Barwala,IN,82.49,29.3833,75.9167,clear sky,Shri mehndi pur bala ji highway fules
128,Mataram,ID,88.61,-8.5833,116.1167,overcast clouds,Hotel Santika Mataram
133,Faanui,PF,78.26,-16.4833,-151.75,few clouds,Bora-Bora Pearl Beach Resort & Spa
134,Mogadishu,SO,76.89,2.0371,45.3438,broken clouds,Hotel Juba
135,Alyangula,AU,85.89,-13.8483,136.4192,broken clouds,Groote Eylandt Lodge
137,Kharan,PK,77.07,28.5833,65.4167,clear sky,Dil Aram Bangla
138,Matay,EG,81.68,28.419,30.7792,clear sky,Nag Aespen
140,Yinchuan,CN,74.68,38.4681,106.2731,scattered clouds,JJ Inns - Yinchuan New Moon Square Branch
143,Safford,US,79.72,32.834,-109.7076,broken clouds,SpringHill Suites by Marriott Thatcher
147,Koumac,NC,76.08,-20.5667,164.2833,clear sky,Le Monitel
152,Atuona,PF,77.27,-9.8,-139.0333,clear sky,Villa Enata
156,Port Blair,IN,84.24,11.6667,92.75,mist,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
159,Georgetown,MY,82.89,5.4112,100.3354,few clouds,Cititel Penang
163,El Tocuyo,VE,70.79,9.7873,-69.7937,overcast clouds,HOTEL BOUTIQUE SANTO DOMINGO
167,Bowen,AU,76.12,-20.0167,148.2333,overcast clouds,Castle Motor Lodge Motel
171,Saint-Pierre,RE,73.56,-21.3393,55.4781,few clouds,Alize Plage
174,Kahului,US,83.97,20.8947,-156.47,clear sky,Maui Seaside Hotel
175,Buala,SB,86.29,-8.145,159.5921,broken clouds,Maringe Lagoon Lodge
176,Guantanamo,CU,74.57,20.1444,-75.2092,few clouds,Hotel Guantánamo
177,Sibolga,ID,76.1,1.7427,98.7792,light rain,Hotel Syariah CN Darussalam
179,Alice Springs,AU,78.35,-23.7,133.8833,overcast clouds,Desert Palms Alice Springs
185,Canchungo,GW,76.35,12.0672,-16.0333,overcast clouds,Aparthotel Napalach
188,Chor,PK,80.4,25.5167,69.7667,clear sky,Asad U Bajeer Hotel
189,Kudat,MY,86.85,6.8837,116.8477,broken clouds,Dream Garden Hotel
191,Dong Hoi,VN,78.31,17.4833,106.6,overcast clouds,Nam Long Hotel
197,Gat,IL,74.08,31.61,34.7642,clear sky,OlusHome
198,Cabo San Lucas,MX,85.51,22.8909,-109.9124,scattered clouds,Hotel Tesoro Los Cabos
204,Tirumullaivasal,IN,83.16,11.2333,79.8333,light rain,Crematorium
205,Koungheul,SN,76.19,13.9833,-14.8,broken clouds,hotel le PARADIS
209,Baghdad,IQ,81.0,33.3406,44.4009,clear sky,Baghdad Hotel
211,Bugaan,PH,89.4,14.0399,120.9361,clear sky,Fernandina Club Taal
221,Dwarka,IN,81.55,22.2394,68.9678,few clouds,Hotel Narayan Avezika Comfort
225,Port-Gentil,GA,76.57,-0.7193,8.7815,moderate rain,Fengshui Residence
227,Dingle,PH,86.9,10.9995,122.6711,overcast clouds,SEGAYA PROPERTY
231,Ben Tre,VN,81.97,10.2333,106.3833,overcast clouds,bentre kiwi oasis hotel company ltd
235,San Fernando,PH,87.76,15.0286,120.6898,clear sky,Maharlika Hostel
236,The Valley,AI,79.11,18.217,-63.0578,broken clouds,CeBlue Villas & Beach Resort
237,Hilo,US,88.29,19.7297,-155.09,few clouds,Hilo Hawaiian Hotel
238,Kloulklubed,PW,88.3,7.0419,134.2556,broken clouds,Storyboard Beach Resort
240,Auki,SB,87.35,-8.7676,160.7034,broken clouds,Auki Motel
241,Kaura Namoda,NG,74.32,12.5898,6.5779,overcast clouds,Moonlight Hotel
245,Correntina,BR,78.08,-13.3433,-44.6367,broken clouds,Hotel Pousada dos Sonhos
248,Acajutla,SV,77.7,13.5928,-89.8275,broken clouds,CASA DE LA PERRA
252,Mawlaik,MM,87.62,23.6333,94.4167,overcast clouds,AKZ Guest House
253,Naze,JP,78.28,28.3667,129.4833,clear sky,Shishime Hotel
255,Hasaki,JP,83.21,35.7333,140.8333,clear sky,Inubosaki Kanko Hotel
261,Vinh,VN,77.04,18.6667,105.6667,overcast clouds,Vuong Hoan 2
264,Bathsheba,BB,81.43,13.2167,-59.5167,overcast clouds,Atlantis Hotel
266,Mount Isa,AU,82.17,-20.7333,139.5,overcast clouds,ibis Styles Mt Isa Verona
272,Zlitan,LY,87.04,32.4674,14.5687,broken clouds,القسم الداخلي للجامعة الأسمرية
