City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Viseu,PT,40.661,-7.9097,48.74,61,91,2.71,overcast clouds
158,Launceston,AU,-41.45,147.1667,63.16,48,1,3.44,clear sky
159,Georgetown,MY,5.4112,100.3354,82.89,78,20,3.44,few clouds
160,Kaitangata,NZ,-46.2817,169.8464,48.85,57,0,6.31,clear sky
161,Saldanha,ZA,-33.0117,17.9442,57.02,78,71,13.15,broken clouds
162,Nador,MA,35.174,-2.9287,59.25,77,0,3.44,clear sky
163,El Tocuyo,VE,9.7873,-69.7937,70.79,91,99,4.59,overcast clouds
164,Aksu,CN,41.1231,80.2644,67.21,25,88,7.18,overcast clouds
165,Nome,US,64.5011,-165.4064,46.17,63,5,8.23,clear sky
166,Klaksvik,FO,62.2266,-6.589,50.92,89,100,19.82,overcast clouds
167,Bowen,AU,-20.0167,148.2333,76.12,53,100,13.98,overcast clouds
168,Fort Nelson,CA,58.8053,-122.7002,56.28,60,99,3.29,overcast clouds
169,Kenai,US,60.5544,-151.2583,50.02,89,9,4.29,clear sky
170,East London,ZA,-33.0153,27.9116,66.18,77,69,16.44,broken clouds
171,Saint-Pierre,RE,-21.3393,55.4781,73.56,70,20,3.44,few clouds
172,Clyde River,CA,70.4692,-68.5914,28.63,86,100,29.93,light snow
173,Gorno-Altaysk,RU,51.9561,85.955,31.89,89,100,4.7,light snow
174,Kahului,US,20.8947,-156.47,83.97,73,6,14.0,clear sky
175,Buala,SB,-8.145,159.5921,86.29,64,69,3.98,broken clouds
176,Guantanamo,CU,20.1444,-75.2092,74.57,93,11,1.97,few clouds
177,Sibolga,ID,1.7427,98.7792,76.1,93,100,3.83,light rain
178,Victoria,HK,22.2855,114.1577,90.18,83,39,7.0,scattered clouds
179,Alice Springs,AU,-23.7,133.8833,78.35,18,100,12.66,overcast clouds
180,Mehamn,NO,71.0357,27.8492,42.71,87,100,3.44,overcast clouds
181,Cap Malheureux,MU,-19.9842,57.6142,68.47,71,0,1.99,clear sky
182,San Quintin,MX,30.4833,-115.95,68.47,83,1,13.42,clear sky
183,Beloha,MG,-25.1667,45.05,63.16,89,0,4.03,clear sky
184,Chicama,PE,-7.8447,-79.1469,64.54,78,99,7.61,overcast clouds
185,Canchungo,GW,12.0672,-16.0333,76.35,92,90,4.38,overcast clouds
186,Brae,GB,60.3964,-1.353,51.13,83,30,19.46,light rain
187,Puerto Montt,CL,-41.4698,-72.9447,46.81,95,22,4.74,few clouds
188,Chor,PK,25.5167,69.7667,80.4,62,0,16.22,clear sky
189,Kudat,MY,6.8837,116.8477,86.85,64,64,11.59,broken clouds
190,Aranos,NA,-24.1333,19.1167,63.81,25,0,11.21,clear sky
191,Dong Hoi,VN,17.4833,106.6,78.31,90,100,2.28,overcast clouds
192,Nioaque,BR,-21.1353,-55.83,67.19,96,47,3.44,scattered clouds
193,Ouadda,CF,8.0777,22.4007,66.49,96,88,2.06,overcast clouds
194,Saint Anthony,US,45.0205,-93.218,64.13,58,75,4.61,broken clouds
195,Kasongo-Lunda,CD,-6.4667,16.8167,69.06,95,86,1.74,overcast clouds
196,Mocuba,MZ,-16.8392,36.9856,66.2,89,6,2.73,clear sky
197,Gat,IL,31.61,34.7642,74.08,84,0,2.53,clear sky
198,Cabo San Lucas,MX,22.8909,-109.9124,85.51,72,44,1.99,scattered clouds
199,Severo-Kurilsk,RU,50.6789,156.125,49.05,72,88,8.81,overcast clouds
200,Chuy,UY,-33.6971,-53.4616,54.68,95,100,3.87,light rain
201,Phalaborwa,ZA,-23.943,31.1411,66.78,73,0,1.41,clear sky
202,La Rioja,ES,42.25,-2.5,37.18,74,100,6.35,overcast clouds
203,Arman,RU,59.7,150.1667,44.02,43,84,4.65,broken clouds
204,Tirumullaivasal,IN,11.2333,79.8333,83.16,63,100,8.95,light rain
205,Koungheul,SN,13.9833,-14.8,76.19,96,66,7.09,broken clouds
206,Pangnirtung,CA,66.1451,-65.7125,33.98,66,100,2.57,overcast clouds
207,Fernandez,AR,-27.9204,-63.8935,67.37,37,0,7.4,clear sky
208,Chulman,RU,56.8479,124.9104,35.28,66,90,7.36,overcast clouds
209,Baghdad,IQ,33.3406,44.4009,81.0,26,0,7.05,clear sky
210,Maun,BW,-19.9833,23.4167,67.44,30,0,7.11,clear sky
211,Bugaan,PH,14.0399,120.9361,89.4,58,6,8.08,clear sky
212,Pangoa,PE,-12.1167,-73.0,65.37,93,70,2.86,broken clouds
213,Port Hardy,CA,50.6996,-127.4199,55.29,87,60,4.56,broken clouds
214,Kidal,ML,18.4411,1.4078,85.86,37,94,0.89,overcast clouds
215,Skjervoy,NO,70.0311,20.9714,33.8,59,7,9.57,clear sky
216,Espumoso,BR,-28.7247,-52.8497,56.28,97,41,2.24,scattered clouds
217,Uvat,RU,59.1433,68.8953,27.84,68,27,2.84,scattered clouds
218,Husavik,IS,66.0449,-17.3389,44.28,98,100,25.59,overcast clouds
219,Kodiak,US,57.79,-152.4072,45.63,73,9,2.68,clear sky
220,Houma,US,29.5958,-90.7195,62.01,81,0,0.0,clear sky
221,Dwarka,IN,22.2394,68.9678,81.55,71,22,9.57,few clouds
222,Asau,RO,46.4333,26.4,52.72,79,38,4.97,scattered clouds
223,Kabinda,CD,-6.1333,24.4833,66.85,90,86,2.84,overcast clouds
224,Huainan,CN,32.6264,116.9969,91.67,46,80,13.96,broken clouds
225,Port-Gentil,GA,-0.7193,8.7815,76.57,87,100,9.53,moderate rain
226,Vila Velha,BR,-20.3297,-40.2925,66.94,87,94,4.25,overcast clouds
227,Dingle,PH,10.9995,122.6711,86.9,68,85,9.33,overcast clouds
228,Pontal Do Parana,BR,-25.6533,-48.5128,62.56,96,100,1.52,overcast clouds
229,Jiayuguan,CN,39.8167,98.3,57.0,33,1,7.81,clear sky
230,Airai,TL,-8.9266,125.4092,73.24,67,100,0.89,overcast clouds
231,Ben Tre,VN,10.2333,106.3833,81.97,82,100,5.21,overcast clouds
232,Lata,PT,40.1629,-8.3327,60.82,82,100,2.17,overcast clouds
233,Stornoway,GB,58.2093,-6.3865,49.93,92,75,11.5,broken clouds
234,Bakchar,RU,57.0186,82.0711,29.93,80,31,5.23,scattered clouds
235,San Fernando,PH,15.0286,120.6898,87.76,63,2,7.38,clear sky
236,The Valley,AI,18.217,-63.0578,79.11,70,75,9.57,broken clouds
237,Hilo,US,19.7297,-155.09,88.29,68,20,5.75,few clouds
238,Kloulklubed,PW,7.0419,134.2556,88.3,72,63,9.01,broken clouds
239,Katherine,AU,-14.4667,132.2667,98.38,20,95,9.08,light rain
240,Auki,SB,-8.7676,160.7034,87.35,59,57,1.1,broken clouds
241,Kaura Namoda,NG,12.5898,6.5779,74.32,87,100,1.32,overcast clouds
242,Arrecife,ES,28.963,-13.5477,69.78,68,20,16.11,few clouds
243,Malartic,CA,48.1335,-78.1328,45.79,88,13,3.65,few clouds
244,Te Anau,NZ,-45.4167,167.7167,55.29,46,2,2.46,clear sky
245,Correntina,BR,-13.3433,-44.6367,78.08,53,76,11.1,broken clouds
246,Ossora,RU,59.2353,163.0719,45.07,69,100,1.16,overcast clouds
247,Kisangani,CD,0.5167,25.2,68.36,93,96,1.1,overcast clouds
248,Acajutla,SV,13.5928,-89.8275,77.7,86,82,2.01,broken clouds
249,Watertown,US,42.3709,-71.1828,52.7,85,0,0.0,clear sky
250,Batemans Bay,AU,-35.7167,150.1833,61.11,63,52,8.03,light rain
251,Norman Wells,CA,65.282,-126.8329,47.26,90,65,2.3,broken clouds
252,Mawlaik,MM,23.6333,94.4167,87.62,61,100,0.6,overcast clouds
253,Naze,JP,28.3667,129.4833,78.28,63,2,8.86,clear sky
254,Northam,GB,51.0333,-4.2167,59.25,88,86,21.63,overcast clouds
255,Hasaki,JP,35.7333,140.8333,83.21,65,6,17.27,clear sky
256,Listvyagi,RU,53.6772,86.951,32.32,92,98,3.44,overcast clouds
257,Araouane,ML,18.9048,-3.5265,88.65,20,1,9.28,clear sky
258,Quatre Cocos,MU,-20.2078,57.7625,68.09,74,4,10.98,clear sky
259,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,85,75,6.91,broken clouds
260,Iqaluit,CA,63.7506,-68.5145,32.7,74,100,8.99,overcast clouds
261,Vinh,VN,18.6667,105.6667,77.04,93,100,0.89,overcast clouds
262,Oranjemund,NA,-28.55,16.4333,53.83,89,66,9.69,broken clouds
263,Mar Del Plata,AR,-38.0023,-57.5575,54.95,80,0,3.0,clear sky
264,Bathsheba,BB,13.2167,-59.5167,81.43,82,100,10.65,overcast clouds
265,Karlskrona,SE,56.1616,15.5866,50.45,75,41,11.97,scattered clouds
266,Mount Isa,AU,-20.7333,139.5,82.17,18,100,9.22,overcast clouds
267,Qasigiannguit,GL,68.8193,-51.1922,30.45,91,99,3.53,overcast clouds
268,Quelimane,MZ,-17.8786,36.8883,69.26,96,3,4.36,clear sky
269,Den Helder,NL,52.9599,4.7593,57.97,94,75,16.11,broken clouds
270,Ostersund,SE,63.1792,14.6357,42.62,100,100,10.36,overcast clouds
271,Varhaug,NO,58.6147,5.6457,53.89,94,100,24.05,light rain
272,Zlitan,LY,32.4674,14.5687,87.04,28,69,6.69,broken clouds
273,Hovd,MN,48.0056,91.6419,26.94,33,4,4.65,clear sky
274,Narsaq,GL,60.9167,-46.05,37.62,98,100,9.73,light rain
275,Saint George,US,37.1041,-113.5841,83.95,28,0,5.75,clear sky
276,Newport,GB,51.5877,-2.9984,60.46,84,59,13.89,broken clouds
